Fiscal Year,Grants: Grants Number,Grant Type,Grantee Name,Fiscal Sponsor,Project Title,Applicant Status,Applicant Institution Type,Applicant Arts Discipline,Type of Activity Supported,Counties Served,Number of IA Artists Engaged,Number of Non-IA Artists Engaged,Total Artists Engaged,Youth Engaged In-Person,Grant Award,Funding Returned,Grant Amount Spent,In-Kind Match,Congressional District,Senate District,House District,Cash Match,Applicant City,Applicant State,Applicant Zip,County
2015,201507,Big Yellow School Bus Grant,Holy Ghost Elementary School,Holy Family Catholic Schools,BYSB Trip to Musical Theatre Performance,Organization- Non-Profit,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,15,15,44,$200.00,$0.00,$200.00,$0.00,1,50,100,$0.00,Dubuque,Iowa,52001-0538,Dubuque
2015,201507,Big Yellow School Bus Grant,Valley Elementary School,Valley Community School District,BYSB Trip to Children's Theater,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Fayette; Winneshiek,0,16,16,56,$200.00,$0.00,$200.00,$0.00,1,28,55,$0.00,Elgin,Iowa,52141-9701,Fayette
2015,201507,Big Yellow School Bus Grant,Johnston Elementary School,Maquoketa Valley Community School District,BYSB Trip to Theater Performance of Skippyjon Jones at Gallagher Bluedorn Center,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Jackson,0,36,36,65,$200.00,$0.00,$200.00,$0.00,1,48,96,$0.00,Delhi,Iowa,52223-7715,Delaware
2015,201507,Big Yellow School Bus Grant,Delhi Elementary School,Maquoketa Valley Community School District,BYSB Trip to Theater Performance of Skippyjon Jones at Gallagher Bluedorn Center,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Jackson,0,36,36,125,$200.00,$0.00,$200.00,$0.00,1,48,96,$0.00,Delhi,Iowa,52223-7715,Delaware
2015,201507,Big Yellow School Bus Grant,Earlville Elementary School,Maquoketa Valley Community School District,BYSB Trip to Theater Performance of Skippyjon Jones at Gallagher Bluedorn Center,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Jackson,0,36,36,100,$200.00,$0.00,$200.00,$0.00,1,48,96,$0.00,Delhi,Iowa,52223-7715,Delaware
2015,201507,Big Yellow School Bus Grant,Blakesburg Elementary School,Eddyville-Blakesburg-Fremont Community School,BYSB Trip to Scrap Metal Concert,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk; Wapello,0,6,6,120,$200.00,$0.00,$200.00,$0.00,2,40,80,$0.00,Eddyville,Iowa,52553,Wapello
2015,201507,Big Yellow School Bus Grant,Humboldt High School,Humboldt Community School District,BYSB Trip to Scrap Metal Concert,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk; Humbolt,0,10,10,40,$200.00,$0.00,$200.00,$0.00,4,5,10,$0.00,Humboldt,Iowa,50548-1878,Humboldt
2015,201507,Big Yellow School Bus Grant,Eisenhower Elementary School,Ottumwa Community School District,BYSB Trip to Art Exhibit at State Capitol,Government- Municipal,Elementary School,Humanities,Building Public Awareness,Polk; Wapello,0,10,10,34,$200.00,$0.00,$200.00,$0.00,2,41,81,$0.00,Ottumwa,Iowa,52501,Wapello
2015,201507,Big Yellow School Bus Grant,East Sac County Elementary,East Sac County Community School District,BYSB Trip to Theatreworks USA,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Sac; Story,0,10,10,58,$200.00,$0.00,$200.00,$0.00,4,6,11,$0.00,Lake View,Iowa,51450,Sac
2015,201507,Big Yellow School Bus Grant,Reinbeck Elementary School,Gladbrook Reinbeck Community School District,BYSB Trip to Theater Performance of Skippyjon Jones at Gallagher Bluedorn Center,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Grundy,0,10,10,240,$200.00,$0.00,$200.00,$0.00,3,25,50,$0.00,Reinbeck,Iowa,50669,Grundy
2015,201507,Big Yellow School Bus Grant,Aplington Elementary,Aplington-parkersburg Community School District,BYSB Trip to Performance of the Lion King,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Butler; Polk,0,5,5,16,$200.00,$0.00,$200.00,$0.00,1,25,50,$0.00,Parkersburg,Iowa,50665-2039,Butler
2015,201507,Big Yellow School Bus Grant,Woodrow Wilson Elementary School,Newton Community School District,BYSB Trip to Center for Art and Artists,Government- Municipal,Elementary School,Humanities,Arts Instruction,Jasper,0,8,8,130,$200.00,$0.00,$200.00,$0.00,3,15,29,$0.00,Newton,Iowa,50208,Jasper
2015,201507,Big Yellow School Bus Grant,Pineview Elementary School,Iowa Falls Community School District,BYSB Trip to Performance of Curious George,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Hardin,0,15,15,98,$200.00,$0.00,$200.00,$0.00,4,25,50,$0.00,Iowa Falls,Iowa,50126,Hardin
2015,201507,Big Yellow School Bus Grant,Irving Elementary School,Dubuque Community School District,BYSB Arts Trek Dubuque Symphony Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,50,0,50,65,$200.00,$0.00,$200.00,$0.00,1,50,99,$0.00,Dubuque,Iowa,52001,Dubuque
2015,201507,Big Yellow School Bus Grant,Gehlen Catholic School,Gehlen Catholic School Of Lemars Inc,BYSB Trip for Symphony Performance,Organization- Non-Profit,Elementary School,Humanities,Concert/Performance/Reading,Plymouth; Woodbury,0,90,90,35,$200.00,$0.00,$200.00,$0.00,4,3,5,$0.00,Le Mars,Iowa,51031-3701,Plymouth
2015,201507,Big Yellow School Bus Grant,Carver Elementary School,Dubuque Community School District,BYSB Trip to Symphony Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,75,75,81,$200.00,$0.00,$200.00,$0.00,1,50,99,$0.00,Dubuque,Iowa,52001,Dubuque
2015,201507,Big Yellow School Bus Grant,Battle Creek-Ida Grove High School,Battle Creek-Ida Grove Community School District,BYSB Trip to Symphony Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Ida; Woodbury,0,30,30,50,$200.00,$0.00,$200.00,$0.00,4,9,17,$0.00,Ida Grove,Iowa,51445,Ida
2015,201507,Big Yellow School Bus Grant,Wilson Elementary School,Ottumwa Community School District,BYSB Trip to State Capitol Art Exhibit,Government- Municipal,Elementary School,Humanities,Building Public Awareness,Polk; Wapello,0,10,10,45,$200.00,$0.00,$200.00,$0.00,2,41,81,$0.00,Ottumwa,Iowa,52501,Wapello
2015,201507,Big Yellow School Bus Grant,Monroe Elementary School,Des Moines Independent Community School District,BYSB Trip to Performance of the Peking Acrobats,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk,0,6,6,125,$200.00,$0.00,$200.00,$0.00,3,18,36,$0.00,Des Moines,Iowa,50312,Polk
2015,201507,Big Yellow School Bus Grant,Marshall Elementary School,Dubuque Community School District,BYSB Trip to Arts Trek for Symphony Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,50,50,55,$200.00,$0.00,$200.00,$0.00,1,50,100,$0.00,Dubuque,Iowa,52001,Dubuque
2015,201507,Big Yellow School Bus Grant,Sacred Heart Elementary School,Archdiocese Of Dubuque,BYSB Trip to Youth Symphony Concert,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk,0,50,50,4,$200.00,$0.00,$200.00,$0.00,1,32,64,$0.00,Oelwein,Iowa,50662-2705,Fayette
2015,201507,Big Yellow School Bus Grant,Springville Elementary School,Springville Community School District,BYSB Trip to Orchestra Iowa Symphony,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Linn,0,50,50,24,$200.00,$0.00,$200.00,$0.00,3,48,95,$0.00,Springville,Iowa,52336-9657,Linn
2015,201507,Big Yellow School Bus Grant,Wings Park Elementary School,Oelwein Community School District,BYSB Trip to Symphony Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Fayette,0,50,50,85,$200.00,$0.00,$200.00,$0.00,1,32,64,$0.00,Oelwein,Iowa,50662-2501,Fayette
2015,201507,Big Yellow School Bus Grant,Aurora Heights Elementary School,Newton Community School District,BYSB Trip for Public Art Tour,Government- Municipal,Elementary School,Humanities,Arts Instruction,Jasper,0,8,8,130,$200.00,$0.00,$200.00,$0.00,3,15,29,$0.00,Newton,Iowa,50208,Jasper
2015,201507,Big Yellow School Bus Grant,Berg Elementary School,Newton Community School District,BYSB Trip to Youth Matinee Series,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Jasper; Story,0,15,15,35,$200.00,$0.00,$200.00,$0.00,3,15,29,$0.00,Newton,Iowa,50208,Jasper
2015,201507,Big Yellow School Bus Grant,Fulton Elementary School,Dubuque Community School District,BYSB Trip to Dubuque Symphony Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,46,46,45,$200.00,$0.00,$200.00,$0.00,1,50,100,$0.00,Dubuque,Iowa,52001,Dubuque
2015,201507,Big Yellow School Bus Grant,Creston Elementary School,Creston Community School District,BYSB Trip to Musical Theatre Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk; Union,0,10,10,130,$200.00,$0.00,$200.00,$0.00,5,11,21,$0.00,Creston,Iowa,50801,Union
2015,201507,Big Yellow School Bus Grant,Harding Middle School,Des Moines Independent Community School District,BYSB Trip to Musical Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk,0,10,10,40,$200.00,$0.00,$200.00,$0.00,3,16,32,$0.00,Des Moines,Iowa,50312,Polk
2015,201507,Big Yellow School Bus Grant,Greene County Middle School,Jefferson-Scranton Community School District,BYSB Trip to Performance of A Christmas Carol,Government- Municipal,Middle School,Humanities,Concert/Performance/Reading,Greene; Story,0,32,32,92,$200.00,$0.00,$200.00,$0.00,4,24,47,$0.00,Jefferson,Iowa,50129,Greene
2015,201507,Big Yellow School Bus Grant,Stratford Community School District,,BYSB Trip to Performance of Curious George,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Hamilton; Story,0,7,7,32,$200.00,$0.00,$200.00,$0.00,4,24,48,$0.00,Stratford,Iowa,50249-7777,Hamilton
2015,201507,Big Yellow School Bus Grant,Nodaway Valley Elementary,Nodaway Valley Community School,BYSB Trip for Architectural Tour,Government- Municipal,Elementary School,Humanities,Arts Instruction,Adair; Polk,0,3,3,41,$200.00,$0.00,$200.00,$0.00,3,10,20,$0.00,Greenfield,Iowa,50849-9531,Adair
2015,201507,Big Yellow School Bus Grant,Highland Elementary School,Waterloo Community School District Inc,BYSB Trip to Performance of Wright Stuff,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk,0,25,25,111,$200.00,$0.00,$200.00,$0.00,1,31,62,$0.00,Waterloo,Iowa,50702-1639,Black Hawk
2015,201507,Big Yellow School Bus Grant,McCombs Middle School,Des Moines Independent Community School District,BYSB Trip to Diavolo Dance Theater,Government- Municipal,Middle School,Humanities,Concert/Performance/Reading,Polk,0,50,50,225,$200.00,$0.00,$200.00,$0.00,3,17,34,$0.00,Des Moines,Iowa,50312,Polk
2015,201507,Big Yellow School Bus Grant,Meredith Middle School,Des Moines Independent Community School District,BYSB Trip to Diavolo Dance Theater,Government- Municipal,Middle School,Humanities,Exhibition,Polk,0,25,25,160,$200.00,$0.00,$200.00,$0.00,3,18,36,$0.00,Des Moines,Iowa,50312,Polk
2015,201507,Big Yellow School Bus Grant,Iowa Christian Academy,,"BYSB Trip to Performance of ""The Best Christmas Pageant Ever",Organization- Non-Profit,Elementary School,Humanities,Concert/Performance/Reading,Polk,0,30,30,23,$200.00,$0.00,$200.00,$0.00,3,22,43,$0.00,West Des Moines,Iowa,50265,Polk
2015,201507,Big Yellow School Bus Grant,Esterville Lincoln Central Middle School,Estherville Lincoln Central Community School District,BYSB Trip to Theater Performance,Government- Municipal,Middle School,Humanities,Concert/Performance/Reading,Emmet,0,75,75,100,$200.00,$0.00,$200.00,$0.00,4,4,7,$0.00,Estherville,Iowa,51334-2791,Emmet
2015,201507,Big Yellow School Bus Grant,Baxter Community School,Baxter Community School District,BYSB Trip to Performance of The Nutcracker,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Jasper; Polk,0,100,100,44,$200.00,$0.00,$200.00,$0.00,3,15,29,$0.00,Baxter,Iowa,50028,Jasper
2015,201507,Big Yellow School Bus Grant,Prince of Peace Catholic School,,BYSB Trip to Native American Dance Troupe Performance,Organization- Non-Profit,Elementary School,Humanities,Concert/Performance/Reading,Clinton; Jackson,0,12,12,43,$200.00,$0.00,$200.00,$0.00,1,49,98,$0.00,Clinton,Iowa,52732-4499,Clinton
2015,201507,Big Yellow School Bus Grant,Bernard Elementary School,Western Dubuque County School District,BYSB Trip to Dubuque Sympnony Perfomance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,35,35,17,$200.00,$0.00,$200.00,$0.00,1,29,57,$0.00,Farley,Iowa,52046,Dubuque
2015,201507,Big Yellow School Bus Grant,Horace Mann Elementary School,Ottumwa Community School District,BYSB Trip to Art Exhibit,Government- Municipal,Elementary School,Humanities,Exhibition,Polk; Wapello,0,10,10,50,$200.00,$0.00,$200.00,$0.00,2,41,81,$0.00,Ottumwa,Iowa,52501,Wapello
2015,201507,Big Yellow School Bus Grant,Liberty Elementary,Ottumwa Community School District,"BYSB Trip to Theater Performance of ""Stella Queen of the Snow""",Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk; Wapello,0,10,10,30,$200.00,$0.00,$200.00,$0.00,2,41,81,$0.00,Ottumwa,Iowa,52501,Wapello
2015,201507,Big Yellow School Bus Grant,Starmont Elementary School,Starmont Community School District,BYSB Trip to Performance of Curious George,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk,0,10,10,137,$200.00,$0.00,$200.00,$0.00,1,32,64,$0.00,Arlington,Iowa,50606,Fayette
2015,201507,Big Yellow School Bus Grant,West Hancock Junior High,West Hancock Community School District,"BYSB Trip to Performance of ""A Christmas Carol""",Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Hancock,0,15,15,83,$200.00,$0.00,$200.00,$0.00,4,4,8,$0.00,Britt,Iowa,50423-1157,Hancock
2015,201507,Big Yellow School Bus Grant,Children's Village at Hayes,Davenport Community School District,BYSB Trip to Performance by Ellis Kell,Government- Municipal,Child Care Provider,Humanities,Arts Instruction,Scott,0,2,2,20,$200.00,$0.00,$200.00,$0.00,1,45,90,$0.00,Davenport,Iowa,52803-4709,Scott
2015,201507,Big Yellow School Bus Grant,Riceville Elementary School,Riceville Community School District,BYSB Trip to Performance of Curious George,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Howard,0,6,6,58,$200.00,$0.00,$200.00,$0.00,4,26,51,$0.00,Riceville,Iowa,50466,Howard
2015,201507,Big Yellow School Bus Grant,Riverbend Middle School,Iowa Falls Community School District,BYSB Trip to Performance of The Lightning Thief,Government- Municipal,Middle School,Humanities,Concert/Performance/Reading,Hardin; Story,0,15,15,110,$200.00,$0.00,$200.00,$0.00,4,25,50,$0.00,Iowa Falls,Iowa,50126,Hardin
2015,201507,Big Yellow School Bus Grant,Oak Park Elementary School,Des Moines Independent Community School District,BYSB Trip to Musical Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk,0,10,10,120,$200.00,$0.00,$200.00,$0.00,3,18,35,$0.00,Des Moines,Iowa,50312,Polk
2015,201507,Big Yellow School Bus Grant,De Sales School,St Francis De Sales Church Inc,BYSB Trip to Performance of San Jose Taiko,Organization- Non-Profit,Elementary School,Humanities,Concert/Performance/Reading,Winneshiek,0,10,10,89,$200.00,$0.00,$200.00,$0.00,4,28,55,$0.00,Ossian,Iowa,52161-8100,Winneshiek
2015,201507,Big Yellow School Bus Grant,Table Mound Elementary School,Dubuque Community School District,BYSB Trip to Dubuque Symphony Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,70,70,61,$200.00,$0.00,$200.00,$0.00,1,50,99,$0.00,Dubuque,Iowa,52001,Dubuque
2015,201507,Big Yellow School Bus Grant,Learn and Play Preschool,Learn & Play Daycare Center,BYSB Trip to Theater Performance of James and the Giant Peach,Organization- Non-Profit,Child Care Provider,Humanities,Concert/Performance/Reading,Black Hawk,0,10,10,20,$200.00,$0.00,$200.00,$0.00,1,31,62,$0.00,Waterloo,Iowa,50707-1102,Black Hawk
2015,201507,Big Yellow School Bus Grant,Hanawalt Elementary,Des Moines Independent Community School District,"BYSB Trip to Performance of ""The Nutcracker""",Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk,0,220,220,125,$200.00,$0.00,$200.00,$0.00,3,21,41,$0.00,Des Moines,Iowa,50312,Polk
2015,201507,Big Yellow School Bus Grant,Woodward -Granger Elementary School,Woodward Granger Community School District,BYSB Trip to Performance of Flat Stanley,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Dallas; Polk,0,10,10,70,$200.00,$0.00,$200.00,$0.00,4,10,19,$0.00,Woodward,Iowa,50276-1033,Dallas
2015,201507,Big Yellow School Bus Grant,Aquin Catholic Elementary School,,BYSB Trip to Dubuque Symphony Orchestra,Organization- Non-Profit,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,60,60,24,$200.00,$0.00,$200.00,$0.00,1,29,58,$0.00,Cascade,Iowa,52033-9511,Dubuque
2015,201507,Big Yellow School Bus Grant,Bennett Community School,Bennett Community School District,BYSB Trip to Theater Performance of Cat in the Hat,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Cedar; Scott,0,15,15,38,$200.00,$0.00,$200.00,$0.00,2,37,73,$0.00,Bennett,Iowa,52721,Cedar
2015,201507,Big Yellow School Bus Grant,James Elementary School,Ottumwa Community School District,BYSB Trip to Opera Iowa Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Wapello,0,10,10,32,$200.00,$0.00,$200.00,$0.00,2,41,81,$0.00,Ottumwa,Iowa,52501,Wapello
2015,201507,Big Yellow School Bus Grant,Murray Elementary School,Murray Community School District,BYSB Trip to Musical Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Clarke; Polk,0,4,4,50,$200.00,$0.00,$200.00,$0.00,5,14,27,$0.00,Murray,Iowa,50174-2013,Clarke
2015,201507,Big Yellow School Bus Grant,Ottumwa High School,Ottumwa Community School District,BYSB Trip to Grant Wood's Studio and Art Museum,Government- Municipal,Secondary School,Humanities,Exhibition,Linn; Wapello,0,50,50,20,$200.00,$0.00,$200.00,$0.00,2,41,81,$0.00,Ottumwa,Iowa,52501,Wapello
2015,201507,Big Yellow School Bus Grant,West Bend/Mallard Elementary School,West Bend Mallard Community School District,BYSB Trip to Youth Matinee Series,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Palo Alto; Story,0,75,75,97,$200.00,$0.00,$200.00,$0.00,4,1,2,$0.00,West Bend,Iowa,50597-8573,Palo Alto
2015,201507,Big Yellow School Bus Grant,West Union Elementary,North Fayette Community School District,BYSB Trip to Theater Performances,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Fayette; Winneshiek,0,15,15,125,$200.00,$0.00,$200.00,$0.00,1,28,55,$0.00,West Union,Iowa,52175,Fayette
2015,201507,Big Yellow School Bus Grant,Wright Elementary School,Des Moines Independent Community School District,BYSB Trip to Theatre Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk,0,30,30,63,$200.00,$0.00,$200.00,$0.00,3,17,34,$0.00,Des Moines,Iowa,50312,Polk
2015,201507,Big Yellow School Bus Grant,Durant Elementary School,Durant Community School District,"BYSB Trip to Theatre Performance of ""The Cat in The Hat""",Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Cedar; Scott,0,30,30,140,$200.00,$0.00,$200.00,$0.00,2,37,73,$0.00,Durant,Iowa,52747-7708,Cedar
2015,201507,Big Yellow School Bus Grant,Cascade Elementary School,Western Dubuque County School District,BYSB Trip to Dubuque Symphony,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,15,15,19,$200.00,$0.00,$200.00,$0.00,1,29,58,$0.00,Farley,Iowa,52046,Dubuque
2015,201507,Big Yellow School Bus Grant,Trinity Lutheran School,Trinity Lutheran Church,BYSB Trip to Theatre Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Linn,0,4,4,26,$200.00,$0.00,$200.00,$0.00,3,35,69,$0.00,Cedar Rapids,Iowa,52404-1831,Linn
2015,201507,Big Yellow School Bus Grant,Sumner-Fredericksburg High School,Sumner Community School District,BYSB Trip to Theater Performance,Government- Municipal,Secondary School,Humanities,Concert/Performance/Reading,Bremer,0,1,1,64,$200.00,$0.00,$200.00,$0.00,1,32,63,$0.00,Sumner,Iowa,50674-1216,Bremer
2015,201507,Big Yellow School Bus Grant,Allison Elementary,Allison Bristow Community School,BYSB Trip to Theater Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Butler,0,2,2,121,$200.00,$0.00,$200.00,$0.00,1,27,54,$0.00,Allison,Iowa,50602-7790,Butler
2015,201507,Big Yellow School Bus Grant,Central Elementary School,Central Community School District,BYSB Trip to Theater Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Clayton; Winneshiek,0,25,25,68,$200.00,$0.00,$200.00,$0.00,1,28,55,$0.00,Elkader,Iowa,52043,Clayton
